metric,mean,ci95_half_width,std,n
mcr,0.978,0.01998815649328373,0.02280350850198278,5
fkr,0.33835760517579827,0.036947917730612144,0.04215206922077476,5
jt,213.996,4.347802222916765,4.96019455263601,5
js,119.7446322131157,1.6834465187441285,1.92056165938635,5
jc,196.3662955644876,4.862589270773043,5.547489875566152,5
